ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
1415,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,14","0,00","94,94","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1416,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,70","0,00","47,66","82,01",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1417,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,14","0,00","97,55","19,51",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1418,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,05","0,00","95,08","19,00",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1419,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,86","0,00","94,95","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1420,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,92","0,00","47,30","81,64",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1421,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,14","0,00","97,82","19,56",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1422,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,21","0,00","95,10","19,01",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1423,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,11","0,00","94,90","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1424,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,73","0,00","47,49","81,80",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1425,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,27","0,00","97,85","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1426,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,98","0,00","94,71","18,93",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1427,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,98","0,00","94,99","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1428,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,79","0,00","47,45","81,16",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1429,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,37","0,00","97,86","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
