ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
1224,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,95","0,00","47,87","81,44",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1225,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,14","0,00","97,82","19,56",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1226,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,70","0,00","95,03","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1227,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,79","0,00","95,00","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1228,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,38","0,00","47,13","82,17",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1229,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,34","0,00","97,56","19,51",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1230,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,02","0,00","94,79","18,94",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1231,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,63","0,00","94,96","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1232,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,50","0,00","47,63","82,30",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1233,0.00,encode_blocks_kernel,encode_blocks_kernel..,"552,32","0,00","97,67","19,53",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1234,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,05","0,00","95,16","19,02",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1235,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,54","0,00","94,93","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1236,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,44","0,00","47,25","82,08",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1237,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,02","0,00","97,82","19,56",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
